id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
853643364839804604,Contemporary Living! Near Liberty Science Center!,501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72174,-74.0348,Private room,,28,0,,,19,344,0,Exempt
853644015910009065,Stylish Suite! Parking Available! Enjoy City Views,501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Private room,,28,0,,,19,344,0,Exempt
853646181107758913,Elegant Suite! Near Hudson River Waterfront!,501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Private room,,28,6,2025-03-16,0.23,19,344,2,Exempt
912874112024824011,Genevieve’s comfort pad,519763222,Genevieve,,Ward B (councilmember Mira Prinz-Arey),40.72119989999999,-74.0847538,Entire home/apt,,28,18,2024-05-19,0.65,1,141,0,
920362041860055725,"Visit Statue of Liberty! 2 Units, Scenic Views",501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72190300938341,-74.03400791914228,Hotel room,,28,3,2025-06-15,0.21,19,354,1,Exempt
920363719131661128,"Relax in Style! 3 Units, Breathtaking Views",501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Hotel room,,28,0,,,19,353,0,Exempt
920364687259901342,"4 Relaxing Units, Near J. Owen Grundy Park",501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72188977641792,-74.03356707428959,Hotel room,,28,1,2024-07-13,0.07,19,352,0,Exempt
930940234769407751,"[Entire Place, 2BD] Modern apartment 25 min to NYC",12949423,Tom,,Ward E (councilmember James Solomon),40.72803,-74.0509,Entire home/apt,,28,1,2023-11-05,0.04,3,0,0,
935681059801050950,Ari’s place! Large Luxury Unit With Parking!,346724100,Ari,,Ward D (councilmember Michael Yun),40.7550466,-74.05472879999999,Entire home/apt,,28,57,2025-02-03,2.15,1,0,19,
951045364490291281,Private bedroom suite w/ adjacent bath near NYC,160638838,Arthur Lamonte,,Ward F (councilmember Jermaine D. Robinson),40.71037,-74.07223,Private room,,28,20,2025-02-19,0.91,1,0,10,
954490457714439638,H7- 20min ride to NYC,15625009,Alexander A,,Ward C (councilmember Richard Boggiano),40.74214,-74.04893,Private room,,30,3,2025-08-31,0.16,30,332,1,
963477422390021341,Spacious Room For Longterm Rent in JC! 30 Min T.SQ,274604030,Mario,,Ward D (councilmember Michael Yun),40.74697,-74.05042,Private room,,90,1,2024-06-30,0.07,18,1,0,
974607318327094384,Beautiful and cozy 2 bdrm apt. in Journal Square,15280721,Peter,,Ward C (councilmember Richard Boggiano),40.73016,-74.06908,Entire home/apt,,28,79,2025-04-21,3.22,1,172,27,
990627815089910189,"1 Bed, 1 Bath Jersey City Room",494993939,David,,Ward F (councilmember Jermaine D. Robinson),40.71237,-74.07309,Entire home/apt,,28,4,2024-05-30,0.18,1,0,0,
1003636371291846489,"Explore Liberty State Park! 2 Units, Stunning View",501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Hotel room,,28,1,2024-09-22,0.08,19,354,0,Exempt
1005159328962072435,"Visit Statue of Liberty! 3 Units, Scenic Views",501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Hotel room,,28,0,,,19,353,0,Exempt
1005705728660230604,"2 Min from PATH train to NYC, Ideal for Fmly/Group",15044828,Sam,,Ward C (councilmember Richard Boggiano),40.73297,-74.06749,Entire home/apt,,28,12,2024-06-03,0.54,5,0,0,
1012375953155087227,Luxury 2bed 2bath 10m from NYC w/ Parking,9631554,Jaime,,Ward C (councilmember Richard Boggiano),40.73031552154373,-74.05248625428803,Entire home/apt,,28,0,,,1,0,0,
1015249070782857838,Experience Ellis Island! 4 Spacious Units,501999514,RoomPicks,,Ward E (councilmember James Solomon),40.72095,-74.03437,Hotel room,,28,4,2025-07-26,0.28,19,352,3,Exempt
1026830535762843164,Private spacious room 20min NYC,546960419,Umesh,,Ward C (councilmember Richard Boggiano),40.73616,-74.05188,Private room,,28,11,2024-09-30,0.49,1,0,2,Exempt
1047393595489718413,Sunny & Spacious Oasis: Your Comfortable Getaway!,274604030,Mario,,Ward C (councilmember Richard Boggiano),40.74061947452435,-74.05021839629515,Entire home/apt,,28,1,2025-09-04,1.0,18,5,1,
1052188404369248440,Luxury Jersey City 2BR | near NYC | Work from home,95459395,Bluebird,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2024-02-29,0.1,10,362,0,
